iter	Passed	Remaining
181	5621	56149
182	5670	56303
183	5698	56239
184	5729	56214
185	5753	56114
186	5776	56001
187	5818	56076
188	5829	55861
189	5874	55961
190	5891	55796
191	5934	55880
192	5974	55939
193	6019	56035
194	6053	56036
195	6066	55838
196	6100	55832
197	6132	55811
198	6140	55576
199	6152	55371
200	6199	55482
201	6244	55580
202	6268	55486
203	6308	55537
204	6343	55541
205	6387	55626
206	6399	55428
207	6426	55368
208	6469	55442
209	6510	55498
210	6523	55309
211	6559	55319
212	6570	55122
213	6613	55193
214	6652	55232
215	6699	55335
216	6709	55129
217	6724	54968
218	6763	55003
219	6804	55056
220	6817	54882
221	6861	54954
222	6870	54751
223	6883	54574
224	6931	54678
225	6969	54703
226	7009	54749
227	7027	54620
228	7065	54641
229	7105	54684
230	7142	54698
231	7189	54789
232	7224	54786
233	7263	54817
234	7297	54812
235	7337	54842
236	7348	54666
237	7364	54519
238	7404	54557
239	7443	54586
240	7488	54653
241	7532	54722
242	7570	54735
243	7606	54743
244	7619	54577
245	7630	54405
246	7641	54230
247	7685	54296
248	7702	54164
249	7739	54173
250	7753	54030
251	7793	54059
252	7808	53922
253	7849	53959
254	7869	53853
255	7914	53916
256	7952	53933
257	7994	53979
258	8007	53825
259	8028	53729
260	8078	53822
261	8115	53836
262	8151	53839
263	8168	53711
264	8201	53697
265	8236	53693
266	8275	53712
267	8311	53716
268	8323	53561
269	8358	53555
270	8394	53560
271	8441	53630
272	8478	53636
273	8506	53582
274	8544	53598
275	8584	53622
276	8615	53587
277	8679	53760
278	8734	53876
279	8776	53912
280	8814	53920
281	8846	53895
282	8880	53878
283	8917	53881
284	8953	53879
285	8998	53926
286	9039	53954
287	9060	53857
288	9099	53874
289	9147	53937
290	9188	53960
291	9235	54022
292	9282	54079
293	9305	53996
294	9319	53863
295	9358	53873
296	9403	53917
297	9439	53912
298	9481	53942
299	9520	53950
300	9542	53862
301	9583	53884
302	9623	53897
303	9665	53921
304	9715	53991
305	9756	54013
306	9774	53903
307	9812	53902
308	9850	53909
309	9869	53803
310	9903	53784
311	9936	53756
312	9955	53660
313	10001	53702
314	10039	53701
315	10081	53724
316	10120	53732
317	10135	53611
318	10166	53573
319	10212	53617
320	10248	53602
321	10263	53483
322	10297	53465
323	10332	53450
324	10376	53480
325	10423	53523
326	10457	53503
327	10503	53544
328	10552	53597
329	10599	53642
330	10634	53620
331	10669	53605
332	10693	53530
333	10741	53580
334	10783	53595
335	10809	53531
336	10853	53557
337	10898	53587
338	10930	53556
339	10973	53576
340	11009	53560
341	11023	53442
342	11059	53429
343	11099	53432
344	11120	53344
345	11159	53345
346	11191	53314
347	11223	53278
348	11267	53303
349	11280	53178
350	11325	53205
351	11377	53268
352	11399	53184
353	11457	53272
354	11481	53202
355	11500	53109
356	11540	53112
357	11582	53124
358	11627	53147
359	11671	53171
360	11708	53157
361	11749	53163
362	11767	53065
363	11804	53055
364	11850	53083
365	11891	53088
366	11911	53003
367	11953	53011
368	11991	53005
369	12028	52990
370	12063	52969
371	12078	52859
372	12121	52874
373	12156	52852
374	12197	52854
375	12213	52750
376	12261	52784
377	12281	52700
378	12330	52739
379	12378	52772
380	12424	52796
381	12436	52675
382	12476	52674
383	12520	52690
384	12541	52608
385	12558	52513
386	12610	52561
387	12657	52586
388	12679	52509
389	12733	52565
390	12755	52491
391	12817	52578
392	12884	52686
393	12936	52730
394	12985	52765
395	13034	52796
396	13056	52720
397	13102	52738
398	13149	52760
399	13163	52652
400	13215	52696
